,Workout start time,Workout end time,Duration (min),Activity Strain,Workout Max HR (bpm),Workout Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,Altitude gain (feet),Altitude change (feet),Distance (miles),Activity name_Inline Skating,Activity name_Manual Labor,Activity name_Motocross,Activity name_Obstacle Course Racing,Activity name_Wheelchair Pushing,Resting heart rate (bpm),Heart rate variability (ms),Blood oxygen %,Day Strain,Physiology Max HR (bpm),Physiology Average HR (bpm),Respiratory rate (rpm),Skin temp (fahrenheit),HR Zone Sum
70,2024-01-27 20:46:08,2024-01-27 23:16:43,150,13.6,161,118,19,30,48,2,0,2208,-12,12,True,False,False,False,False,71,27,94,14,161,78,18.8,91,99
72,2024-01-26 20:56:14,2024-01-26 23:54:46,178,14.0,155,113,35,16,40,4,0,1911,6,12,True,False,False,False,False,63,29,93,14,155,79,18.4,93,95
74,2024-01-23 14:43:51,2024-01-23 16:57:07,133,14.5,154,114,10,8,38,17,0,8105,7,73,False,False,True,False,False,55,24,93,14,154,71,16.9,94,73
75,2024-01-20 20:30:31,2024-01-20 23:07:59,157,9.2,137,99,33,38,6,0,0,1820,-5,12,True,False,False,False,False,63,44,93,10,140,72,16.5,91,77
76,2024-01-19 20:55:49,2024-01-19 23:27:55,152,13.6,154,118,18,35,41,4,0,1825,-1,11,True,False,False,False,False,61,37,95,14,154,77,15.7,88,98
77,2024-01-15 13:37:38,2024-01-15 15:52:59,135,12.9,154,108,12,14,40,5,0,8280,-154,73,False,False,True,False,False,56,40,94,13,154,69,16.6,91,71
78,2024-01-13 21:24:05,2024-01-13 23:53:14,149,10.0,152,105,31,49,8,1,0,2075,-7,12,True,False,False,False,False,73,36,91,11,152,75,17.0,93,89
80,2024-01-12 20:48:12,2024-01-12 23:44:20,176,12.8,160,105,16,22,25,5,0,2096,-8,12,True,False,False,False,False,60,28,93,13,160,72,16.3,93,68
82,2024-01-11 15:00:00,2024-01-11 17:23:00,143,12.8,148,106,10,14,39,3,0,0,0,0,False,False,True,False,False,61,23,92,13,148,68,15.3,91,66
85,2024-01-06 21:01:00,2024-01-06 23:37:13,156,12.8,157,110,18,35,31,2,0,1864,-2,11,True,False,False,False,False,74,50,95,13,157,76,17.5,89,86
87,2024-01-05 20:52:09,2024-01-05 23:50:56,178,13.8,165,110,19,30,23,8,0,2193,-7,12,True,False,False,False,False,60,23,94,14,165,75,15.3,91,80
89,2024-01-01 11:50:39,2024-01-01 14:04:58,134,13.8,152,113,9,16,44,9,0,9176,19,75,False,False,True,False,False,63,35,94,14,152,73,17.2,92,78
90,2023-12-31 20:33:35,2024-01-01 00:30:07,164,10.6,145,94,24,23,10,0,0,2292,3,13,True,False,False,False,False,74,32,93,12,145,71,16.9,93,57
92,2023-12-30 20:41:30,2023-12-30 23:02:37,141,12.3,150,114,22,45,28,1,0,1908,-5,12,True,False,False,False,False,64,28,91,13,150,75,15.7,92,96
94,2023-12-29 21:13:33,2023-12-29 23:54:24,160,13.2,156,115,24,40,31,2,0,1842,-10,11,True,False,False,False,False,70,21,98,14,156,72,17.3,93,97
96,2023-12-26 12:35:20,2023-12-26 16:30:20,176,13.4,151,101,18,21,25,2,0,8687,-8,78,False,False,True,False,False,57,41,96,14,151,69,17.0,90,66
98,2023-12-23 20:36:07,2023-12-23 22:51:21,135,10.7,153,109,20,45,19,2,0,1935,-10,12,True,False,False,False,False,63,28,95,12,153,75,17.4,92,86
100,2023-12-22 20:46:46,2023-12-22 23:48:14,181,13.5,167,107,16,18,22,10,1,2097,-1,12,True,False,False,False,False,59,29,93,13,167,74,17.2,90,67
101,2023-12-21 13:23:35,2023-12-21 16:06:57,163,13.0,150,109,17,24,35,3,0,8278,-13,77,False,False,True,False,False,56,35,95,13,150,71,17.3,89,79
102,2023-12-16 20:34:38,2023-12-16 23:27:41,173,13.9,151,118,14,39,44,1,0,2277,-8,12,True,False,False,False,False,63,36,94,15,151,79,17.3,89,98
103,2023-12-15 20:50:21,2023-12-15 23:48:34,178,13.5,159,111,32,23,26,7,0,2074,1,11,True,False,False,False,False,0,0,0,14,159,76,,32,88
104,2023-12-09 20:30:50,2023-12-09 23:36:21,185,12.7,154,111,33,37,24,2,0,2091,-8,12,True,False,False,False,False,64,44,94,13,154,76,17.6,89,96
106,2023-12-08 20:46:30,2023-12-08 23:52:30,185,10.4,148,99,30,18,16,1,0,2175,0,11,True,False,False,False,False,62,25,94,11,148,75,16.6,92,65
107,2023-12-04 14:51:07,2023-12-04 17:00:07,128,8.2,146,92,27,12,13,0,0,6492,0,61,False,False,True,False,False,55,40,95,11,146,66,17.2,90,52
110,2023-12-02 20:22:21,2023-12-02 23:00:53,158,12.4,147,113,25,52,21,0,0,2146,-9,12,True,False,False,False,False,67,29,92,13,159,77,16.7,94,98
112,2023-12-01 21:02:29,2023-12-01 23:36:33,154,12.7,159,110,17,37,25,4,0,1912,-3,12,True,False,False,False,False,67,32,95,15,159,79,16.5,91,83
113,2023-11-30 20:29:34,2023-11-30 22:52:50,143,13.4,164,114,10,29,34,10,0,1956,-12,12,True,False,False,False,False,69,18,92,14,164,73,17.4,90,83
116,2023-11-27 15:27:20,2023-11-28 15:27:20,176,11.3,146,68,8,5,0,0,0,12959,2,94,False,False,True,False,False,56,45,94,13,147,66,17.0,93,13
117,2023-11-25 20:50:22,2023-11-25 23:25:06,154,11.6,164,105,44,25,13,5,0,2098,-4,12,True,False,False,False,False,68,25,95,15,164,77,16.6,88,87
119,2023-11-24 20:57:25,2023-11-25 00:00:00,182,14.5,162,117,15,49,30,5,0,2978,-56,8,True,False,False,False,False,59,35,97,16,162,79,17.2,89,99
120,2023-11-20 15:19:55,2023-11-20 17:38:31,138,11.9,149,105,19,30,25,1,0,8166,-4,76,False,False,True,False,False,53,56,94,12,149,64,17.1,91,75
122,2023-11-17 20:37:42,2023-11-18 20:29:15,164,18.2,174,76,6,3,6,3,0,5522,-8,8,True,False,False,False,False,58,28,95,19,174,70,17.1,89,18
124,2023-11-13 14:31:40,2023-11-13 17:16:00,164,10.0,142,99,40,33,6,0,0,9850,-4,82,False,False,True,False,False,53,39,94,11,148,67,17.4,89,79
126,2023-11-11 20:29:37,2023-11-11 23:10:24,160,13.3,164,114,21,45,28,2,0,2435,-14,13,True,False,False,False,False,68,32,94,15,164,81,17.1,92,96
128,2023-11-10 20:48:48,2023-11-10 23:46:44,177,15.1,161,115,23,13,34,15,0,2250,-10,11,True,False,False,False,False,56,57,0,16,161,75,,32,85
129,2023-11-07 15:03:52,2023-11-07 18:10:03,186,12.0,149,100,21,28,18,1,0,9368,-28,79,False,False,True,False,False,57,35,91,12,149,66,17.6,90,68
130,2023-11-04 21:14:13,2023-11-04 23:22:06,127,13.9,150,123,6,35,58,1,0,1784,-5,10,True,False,False,False,False,64,26,94,15,153,80,17.2,91,100
131,2023-10-30 12:47:22,2023-10-31 12:47:22,176,8.0,135,67,9,2,0,0,0,13847,-2,88,False,False,True,False,False,56,52,95,11,152,67,17.2,90,11
132,2023-10-28 21:09:12,2023-10-28 23:38:05,148,13.4,151,117,22,41,34,3,0,1443,0,11,True,False,False,False,False,65,27,95,15,151,75,16.1,91,100
134,2023-10-27 20:52:24,2023-10-28 00:04:27,192,17.0,176,125,6,37,45,10,2,1680,-6,12,True,False,False,False,False,57,49,94,18,176,79,16.7,91,100
136,2023-10-23 12:07:15,2023-10-23 16:01:11,176,12.6,147,94,25,8,19,0,0,8402,-93,81,False,False,True,False,False,51,48,94,14,172,68,17.3,92,52
138,2023-10-21 20:40:34,2023-10-21 23:15:38,155,13.8,152,117,18,43,37,2,0,1520,-2,11,True,False,False,False,False,63,31,94,15,152,79,16.7,90,100
139,2023-10-20 20:46:24,2023-10-20 23:24:48,158,13.7,156,113,19,26,37,5,0,1491,0,12,True,False,False,False,False,0,0,0,17,160,78,,32,87
140,2023-10-16 13:00:00,2023-10-16 15:30:00,150,5.5,119,84,36,3,0,0,0,0,0,0,False,False,True,False,False,57,41,96,6,132,64,16.9,88,39
142,2023-10-14 20:19:56,2023-10-14 23:00:26,160,13.6,152,116,19,48,33,0,0,1706,4,12,True,False,False,False,False,61,39,92,16,185,74,16.9,90,100
144,2023-10-13 20:48:49,2023-10-13 23:47:45,178,13.5,159,107,22,23,28,5,0,1538,-5,11,True,False,False,False,False,52,51,93,15,159,72,17.1,88,78
145,2023-10-11 14:45:00,2023-10-11 16:50:59,125,10.7,150,100,18,20,21,2,0,0,0,0,False,False,True,False,False,49,55,96,12,150,66,17.4,88,61
146,2023-10-07 20:35:08,2023-10-07 22:47:08,131,13.8,157,121,17,31,48,4,0,1284,-18,11,True,False,False,False,False,0,0,0,15,157,76,,32,100
148,2023-10-06 20:50:30,2023-10-06 23:45:28,174,14.0,160,112,39,23,25,8,0,0,0,0,True,False,False,False,False,60,26,95,15,160,76,16.6,94,95
149,2023-10-02 12:28:14,2023-10-02 16:00:43,212,12.9,150,95,19,5,22,3,0,9049,-438,77,False,False,True,False,False,52,50,96,13,150,67,16.6,90,49
150,2023-09-30 21:01:54,2023-09-30 23:08:05,126,13.0,164,116,23,43,29,4,0,1348,-5,11,True,False,False,False,False,0,0,0,13,164,75,,32,99
151,2023-09-29 20:51:04,2023-09-29 23:53:16,182,13.7,160,105,28,19,20,9,0,1567,7,11,True,False,False,False,False,55,46,94,17,183,76,17.0,91,76
152,2023-09-25 12:44:43,2023-09-25 14:57:27,132,6.6,133,91,45,16,0,0,0,8805,-427,78,False,False,True,False,False,55,37,92,7,138,66,15.9,93,61
154,2023-09-23 20:28:49,2023-09-23 23:04:05,155,13.8,162,117,24,39,28,8,0,1497,-6,11,True,False,False,False,False,63,40,93,15,162,76,16.8,92,99
155,2023-09-22 20:47:47,2023-09-22 23:46:13,178,14.7,171,108,22,18,15,16,0,1497,-4,11,True,False,False,False,False,58,27,94,15,171,72,16.3,90,71
156,2023-09-21 11:33:16,2023-09-21 15:00:20,207,8.1,124,94,51,20,0,0,0,8300,-63,80,False,False,True,False,False,50,57,94,12,141,75,16.9,88,71
157,2023-09-19 14:37:30,2023-09-19 15:38:59,61,11.6,151,129,1,19,78,2,0,0,0,0,False,False,True,False,False,55,51,93,13,151,65,16.0,89,100
159,2023-09-15 20:53:11,2023-09-15 23:48:42,175,13.2,168,104,16,25,16,5,1,1400,-1,11,True,False,False,False,False,57,33,92,17,168,74,16.4,93,63
161,2023-09-11 13:58:48,2023-09-11 15:55:41,116,6.6,121,95,56,20,0,0,0,8818,-5,77,False,False,True,False,False,67,28,91,9,125,70,16.5,94,76
163,2023-09-09 21:05:36,2023-09-09 23:19:10,133,14.7,169,122,16,30,35,17,0,1382,-5,12,True,False,False,False,False,65,39,95,17,181,78,17.0,90,98
165,2023-09-08 20:46:53,2023-09-08 23:48:44,181,14.1,166,107,34,22,13,11,0,1540,-3,11,True,False,False,False,False,56,37,94,15,166,72,15.9,91,80
167,2023-09-05 14:25:30,2023-09-05 16:22:17,116,7.1,126,94,44,26,0,0,0,0,0,0,False,False,True,False,False,56,38,91,10,133,70,16.1,91,70
169,2023-09-02 20:18:39,2023-09-02 22:39:59,141,15.3,173,124,11,29,51,8,1,1394,-5,11,True,False,False,False,False,65,30,92,16,173,76,16.9,92,100
170,2023-09-01 20:47:28,2023-09-01 23:22:37,155,15.9,163,117,16,11,22,30,0,1472,-7,12,True,False,False,False,False,52,45,93,17,163,78,17.0,89,79
171,2023-08-19 20:42:46,2023-08-19 23:08:03,145,13.4,154,116,17,46,35,1,0,1431,-383,12,True,False,False,False,False,62,42,93,15,154,73,16.5,90,99
173,2023-08-18 20:51:17,2023-08-18 23:47:28,176,14.2,166,108,16,14,29,8,0,1594,-3,13,True,False,False,False,False,54,37,94,15,166,71,16.6,92,67
175,2023-08-14 13:21:36,2023-08-14 15:37:11,135,7.4,124,94,60,15,0,0,0,7836,-21,75,False,False,True,False,False,53,38,92,8,144,65,15.8,93,75
177,2023-08-12 21:00:27,2023-08-12 23:28:20,147,15.8,166,123,21,19,43,17,0,1534,0,12,True,False,False,False,False,57,40,94,17,166,76,17.2,88,100
178,2023-08-11 20:44:16,2023-08-11 23:49:22,185,14.4,156,108,16,7,37,7,0,1589,-3,12,True,False,False,False,False,51,34,93,14,156,73,15.0,91,67
180,2023-08-07 14:05:55,2023-08-07 16:48:53,162,6.0,110,87,51,0,0,0,0,9250,-30,77,False,False,True,False,False,50,46,93,6,122,63,16.3,91,51
181,2023-08-05 20:49:33,2023-08-05 23:03:38,134,16.9,179,130,11,18,43,26,2,1427,-1,12,True,False,False,False,False,59,39,94,17,179,74,15.8,92,100
183,2023-08-04 20:49:04,2023-08-04 23:56:08,187,16.2,176,111,11,8,22,21,2,1558,4,11,True,False,False,False,False,53,41,94,17,176,73,16.2,92,64
184,2023-07-31 11:54:52,2023-07-31 14:12:44,137,4.3,111,79,19,0,0,0,0,9498,-315,72,False,False,True,False,False,50,52,95,9,164,67,15.3,89,19
186,2023-07-29 20:39:10,2023-07-29 22:55:18,136,14.5,159,122,15,32,41,11,0,1443,2,12,True,False,False,False,False,59,41,94,15,159,71,16.1,92,99
188,2023-07-28 20:48:58,2023-07-28 23:47:23,178,15.8,165,112,13,11,26,19,0,1618,-3,12,True,False,False,False,False,52,53,97,16,165,68,15.7,89,69
190,2023-07-24 13:19:51,2023-07-24 15:40:49,140,4.6,117,81,30,0,0,0,0,8576,-265,78,False,False,True,False,False,53,45,94,6,160,63,15.4,93,30
192,2023-07-22 20:42:32,2023-07-22 23:23:46,161,16.4,181,127,4,33,48,13,2,1510,0,12,True,False,False,False,False,61,33,95,17,181,75,16.8,93,100
195,2023-07-21 20:46:27,2023-07-21 23:48:24,181,16.7,180,111,14,7,16,20,5,1537,-3,11,True,False,False,False,False,55,31,96,18,180,74,16.9,93,62
197,2023-07-17 13:14:35,2023-07-17 15:44:17,149,4.9,107,82,31,0,0,0,0,8186,-15,74,False,False,True,False,False,53,63,94,5,123,63,16.9,90,31
198,2023-07-15 21:03:52,2023-07-15 23:32:46,148,16.1,157,128,7,22,57,14,0,1436,-3,11,True,False,False,False,False,66,32,95,17,157,80,16.9,92,100
199,2023-07-14 20:45:12,2023-07-14 23:47:47,182,15.5,160,115,27,10,39,12,0,1448,-15,11,True,False,False,False,False,54,46,95,16,160,76,16.6,88,88
201,2023-07-10 13:30:11,2023-07-10 15:41:08,130,8.0,128,100,31,45,1,0,0,8565,-26,77,False,False,True,False,False,54,47,96,8,128,68,16.4,92,77
203,2023-07-08 20:50:45,2023-07-08 23:22:47,152,14.4,155,119,12,37,45,4,0,1981,-3,11,True,False,False,False,False,0,0,0,17,190,74,,32,98
204,2023-07-07 20:49:03,2023-07-07 23:41:58,172,13.6,161,106,30,21,22,6,0,1556,-3,11,True,False,False,False,False,53,45,94,15,161,76,16.6,91,79
205,2023-07-03 11:55:25,2023-07-03 14:52:12,176,5.4,116,83,34,2,0,0,0,8902,-243,77,False,False,True,False,False,53,52,93,7,132,65,16.8,93,36
206,2023-07-01 20:45:09,2023-07-01 23:22:50,157,15.7,157,127,4,32,54,10,0,1568,0,12,True,False,False,False,False,67,22,95,17,157,72,16.8,93,100
208,2023-06-30 20:47:10,2023-06-30 23:40:11,173,15.2,169,109,13,13,26,14,0,1509,-1,11,True,False,False,False,False,57,24,94,15,169,75,16.1,92,66
210,2023-06-26 12:51:42,2023-06-26 15:00:55,129,11.0,154,101,24,18,12,8,0,9263,-17,75,False,False,True,False,False,53,53,95,11,154,68,16.4,90,62
211,2023-06-24 20:33:00,2023-06-24 23:13:42,160,15.8,176,125,5,35,47,11,2,1439,0,11,True,False,False,False,False,62,27,95,16,176,76,16.9,93,100
212,2023-06-23 20:50:03,2023-06-23 23:49:44,179,13.7,156,106,18,14,34,3,0,1694,0,12,True,False,False,False,False,53,28,94,15,156,77,15.5,89,69
213,2023-06-17 20:35:02,2023-06-17 23:15:08,160,13.5,155,113,29,42,25,2,0,1561,-1,11,True,False,False,False,False,63,41,93,14,155,77,16.7,89,98
214,2023-06-16 20:48:46,2023-06-16 23:49:56,181,14.7,176,106,13,14,24,8,2,1435,-3,11,True,False,False,False,False,52,39,94,16,176,76,17.9,90,61
215,2023-06-12 11:22:59,2023-06-12 13:26:15,123,4.4,119,85,43,3,0,0,0,10153,-25,77,False,False,True,False,False,57,34,94,4,120,64,17.9,93,46
216,2023-06-10 20:32:33,2023-06-10 22:49:20,136,13.5,163,119,14,41,38,5,0,1200,-427,11,True,False,False,False,False,65,32,94,14,163,74,17.5,89,98
218,2023-06-09 20:53:00,2023-06-09 23:46:59,173,13.4,157,105,14,12,32,5,0,1395,-31,11,True,False,False,False,False,0,0,0,14,157,71,,32,63
220,2023-06-05 13:19:48,2023-06-05 14:16:06,176,12.1,151,134,0,13,58,29,0,0,0,0,False,False,True,False,False,52,35,92,14,151,68,17.6,91,100
221,2023-06-03 20:57:59,2023-06-03 23:22:46,144,16.1,183,129,2,30,53,14,1,1390,-3,12,True,False,False,False,False,61,27,93,17,183,78,17.3,92,100
223,2023-06-02 20:50:15,2023-06-02 23:09:02,138,14.3,162,114,10,17,39,12,0,1405,0,11,True,False,False,False,False,54,34,93,15,162,74,17.5,90,78
224,2023-05-29 12:14:32,2023-05-29 14:37:55,143,7.4,134,93,42,19,2,0,0,10875,-19,78,False,False,True,False,False,52,32,93,8,134,64,17.9,94,63
227,2023-05-27 20:20:55,2023-05-27 22:50:24,149,14.7,182,116,23,31,34,5,2,1413,0,12,True,False,False,False,False,59,23,94,16,182,75,16.6,93,95
228,2023-05-26 20:48:04,2023-05-26 23:47:46,179,16.8,180,112,12,14,18,20,3,1495,1,11,True,False,False,False,False,50,35,92,17,180,77,17.5,93,67
229,2023-05-22 13:10:38,2023-05-22 15:53:28,162,5.4,123,86,40,6,0,0,0,335,44,4,False,False,True,False,False,57,32,93,6,137,66,17.1,94,46
231,2023-05-20 20:27:08,2023-05-20 23:02:30,155,15.8,170,125,14,23,42,18,1,1479,-2,12,True,False,False,False,False,59,32,92,16,170,74,17.7,92,98
232,2023-05-19 20:54:20,2023-05-19 23:49:42,175,13.8,159,110,22,9,40,7,0,1544,-1,11,True,False,False,False,False,56,26,94,14,159,74,16.5,32,78
234,2023-05-15 12:16:48,2023-05-15 14:17:13,120,6.1,118,92,49,18,0,0,0,9251,-37,76,False,False,True,False,False,54,34,93,8,130,66,17.5,91,67
