,Workout start time,Workout end time,Duration (min),Activity Strain,Workout Max HR (bpm),Workout Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,Altitude gain (feet),Altitude change (feet),Distance (miles),Activity name_Inline Skating,Activity name_Manual Labor,Activity name_Motocross,Activity name_Obstacle Course Racing,Activity name_Wheelchair Pushing,Resting heart rate (bpm),Heart rate variability (ms),Blood oxygen %,Day Strain,Physiology Max HR (bpm),Physiology Average HR (bpm),Respiratory rate (rpm),Skin temp (fahrenheit),HR Zone Sum
453,2022-06-01 11:28:05,2022-06-01 13:30:00,121,5.4,112,87,47,15,0,0,0,7132,-32,74,False,False,True,False,False,54,44,96,7,131,68,15.9,90,62
454,2022-05-28 20:27:54,2022-05-28 23:10:16,162,13.4,151,110,29,36,30,4,0,885,-1,10,True,False,False,False,False,68,43,95,15,151,80,15.9,91,99
455,2022-05-27 20:55:10,2022-05-27 23:37:35,162,14.0,155,110,31,23,24,15,0,871,0,10,True,False,False,False,False,54,40,95,18,176,81,15.9,89,93
456,2022-05-27 12:09:35,2022-05-27 16:21:38,176,8.9,127,91,35,27,1,0,0,13125,0,65,False,False,True,False,False,54,40,95,18,176,81,15.9,89,63
457,2022-05-25 11:06:39,2022-05-25 13:00:00,113,8.0,138,100,36,47,5,0,0,7236,-7,85,False,False,True,False,False,58,34,93,12,148,71,17.3,93,88
458,2022-05-21 20:38:41,2022-05-21 23:30:00,171,7.6,129,92,47,25,3,0,0,1409,-8,8,True,False,False,False,False,0,0,0,14,154,78,,32,75
459,2022-05-21 10:54:36,2022-05-21 11:26:13,31,5.7,138,104,30,44,20,0,0,126,-3,2,False,False,False,False,True,0,0,0,14,154,78,,32,94
460,2022-05-20 20:52:18,2022-05-20 23:48:16,175,15.1,167,109,24,35,13,17,2,806,0,10,True,False,False,False,False,57,29,95,16,167,77,15.9,93,91
462,2022-05-19 17:57:22,2022-05-19 18:43:00,45,4.6,119,93,75,16,0,0,0,544,-1,16,False,False,False,True,False,55,43,94,8,135,70,16.6,91,91
465,2022-05-18 18:53:26,2022-05-18 19:38:46,45,5.2,121,99,61,37,0,0,0,309,11,9,False,False,False,True,False,58,33,94,9,138,65,17.0,92,98
468,2022-05-17 18:59:41,2022-05-17 20:00:00,60,9.8,171,104,48,16,4,11,7,133,0,2,False,False,False,False,True,56,48,97,11,171,67,16.7,89,86
470,2022-05-17 17:16:12,2022-05-17 18:16:00,59,4.7,115,89,56,10,0,0,0,600,1,16,False,False,False,True,False,56,48,97,11,171,67,16.7,89,66
472,2022-05-13 20:46:37,2022-05-13 23:43:11,176,15.9,166,118,10,41,28,19,1,768,-2,10,True,False,False,False,False,59,31,94,18,166,83,16.6,90,99
473,2022-05-13 14:32:39,2022-05-13 15:11:00,38,8.5,155,119,10,39,32,19,0,187,0,3,False,False,False,False,True,59,31,94,18,166,83,16.6,90,100
474,2022-05-12 12:10:31,2022-05-12 12:52:16,41,10.6,161,114,22,14,9,35,7,151,0,2,False,False,False,False,True,57,38,94,13,161,70,16.3,90,87
475,2022-05-11 15:58:17,2022-05-11 18:44:59,166,9.7,145,97,37,21,16,1,0,485,-2,6,False,False,False,False,True,65,20,95,11,145,67,17.6,95,75
478,2022-05-08 13:32:07,2022-05-08 14:40:00,67,4.6,123,87,20,7,0,0,0,524,-24,16,False,False,False,True,False,65,39,95,5,123,67,16.8,90,27
480,2022-05-07 20:45:44,2022-05-07 23:28:43,162,12.8,155,119,27,42,25,0,0,756,0,10,True,False,False,False,False,0,0,0,14,162,82,,32,94
481,2022-05-07 13:29:40,2022-05-07 15:00:18,90,4.2,112,81,10,0,0,0,0,432,-1,15,False,False,False,True,False,0,0,0,14,162,82,,32,10
482,2022-05-07 10:10:43,2022-05-07 11:07:00,56,5.0,141,92,22,21,0,0,0,160,0,2,False,False,False,False,True,0,0,0,14,162,82,,32,43
483,2022-05-06 21:00:43,2022-05-06 23:54:00,173,9.4,147,106,60,26,2,0,0,1602,2,8,True,False,False,False,False,62,28,91,11,149,75,17.6,91,88
486,2022-05-05 16:50:32,2022-05-05 17:15:40,25,4.3,141,101,53,18,0,0,0,99,-2,1,False,False,False,False,True,55,42,95,8,165,73,17.0,91,71
487,2022-05-05 12:12:09,2022-05-05 12:48:32,36,6.9,165,116,15,21,26,8,0,125,-1,2,False,False,False,False,True,55,42,95,8,165,73,17.0,91,70
488,2022-05-03 15:55:37,2022-05-03 18:01:00,125,10.3,165,106,23,6,19,6,0,427,0,6,False,False,False,False,True,57,44,94,11,165,71,16.9,91,54
489,2022-05-01 09:32:29,2022-05-01 10:23:02,50,5.3,158,96,25,16,9,0,0,176,-11,3,False,False,False,False,True,0,0,0,5,158,70,,32,50
490,2022-04-29 21:03:04,2022-04-29 23:46:21,163,9.2,152,107,47,26,8,0,0,735,0,10,True,False,False,False,False,60,35,95,11,152,73,16.5,93,81
492,2022-04-26 15:44:46,2022-04-26 17:41:24,116,10.0,164,106,21,17,19,2,0,378,-16,6,False,False,False,False,True,57,42,94,10,164,71,16.7,90,59
493,2022-04-25 12:34:03,2022-04-25 13:07:07,33,7.2,166,116,18,12,37,7,0,162,-34,2,False,False,False,False,True,55,48,94,8,166,66,17.1,90,74
494,2022-04-23 20:27:53,2022-04-23 23:17:53,170,8.7,151,105,42,29,4,0,0,906,-8,10,True,False,False,False,False,67,28,96,9,151,75,16.4,91,75
496,2022-04-22 20:52:37,2022-04-22 23:50:49,178,14.1,167,120,26,28,35,2,0,818,1,10,True,False,False,False,False,59,32,95,15,167,79,16.8,92,91
497,2022-04-21 16:00:31,2022-04-21 17:00:34,60,6.1,147,102,33,22,9,0,0,191,-21,3,False,False,False,False,True,66,23,92,6,147,70,16.2,93,64
499,2022-04-19 15:10:30,2022-04-19 17:01:22,110,9.5,174,105,21,16,17,2,0,416,0,6,False,False,False,False,True,58,38,92,10,174,70,17.6,91,56
500,2022-04-18 08:16:37,2022-04-18 09:15:15,58,5.6,152,94,18,23,7,0,0,140,2,3,False,False,False,False,True,56,32,94,7,153,67,16.9,93,48
501,2022-04-17 10:40:48,2022-04-17 11:17:36,36,5.2,152,98,22,28,7,0,0,125,1,2,False,False,False,False,True,58,40,93,6,152,69,16.0,89,57
502,2022-04-16 20:27:32,2022-04-16 22:45:37,138,12.5,157,118,20,32,35,0,0,899,-1,10,True,False,False,False,False,65,24,92,13,165,78,16.1,91,87
503,2022-04-16 11:20:00,2022-04-16 12:30:00,70,6.2,165,101,40,14,9,0,0,0,0,0,False,False,False,False,True,65,24,92,13,165,78,16.1,91,63
504,2022-04-15 20:52:55,2022-04-15 23:53:16,180,13.7,172,117,31,22,24,6,0,758,2,9,True,False,False,False,False,57,35,95,16,172,78,17.7,92,83
506,2022-04-15 14:19:05,2022-04-15 14:45:03,25,5.5,152,111,19,27,24,0,0,135,-23,1,False,False,False,False,True,57,35,95,16,172,78,17.7,92,70
508,2022-04-13 19:42:53,2022-04-13 20:35:24,52,5.6,156,97,23,21,5,0,0,134,-23,1,False,False,False,False,True,60,28,92,6,156,66,17.0,93,49
511,2022-04-12 16:24:45,2022-04-12 18:21:38,116,12.3,170,125,15,49,28,5,0,481,3,6,False,False,False,False,True,59,25,93,12,170,76,16.3,93,97
512,2022-04-12 09:03:56,2022-04-12 09:41:23,37,0.2,112,86,26,0,0,0,0,132,0,2,False,False,False,False,True,59,25,93,12,170,76,16.3,93,26
513,2022-04-11 17:33:41,2022-04-11 18:10:43,37,6.2,159,110,11,33,24,1,0,199,0,2,False,False,False,False,True,54,45,95,7,159,65,16.7,93,69
515,2022-04-10 09:31:43,2022-04-10 10:28:30,56,4.5,137,84,16,13,0,0,0,118,2,2,False,False,False,False,True,64,35,94,5,137,68,16.5,92,29
516,2022-04-08 20:57:19,2022-04-09 00:05:48,188,9.9,151,107,56,27,5,0,0,738,6,10,True,False,False,False,False,58,34,92,12,151,79,17.1,93,88
517,2022-04-07 12:34:03,2022-04-07 13:06:04,32,6.7,160,116,21,22,31,6,0,119,0,2,False,False,False,False,True,0,0,0,9,160,73,,32,80
519,2022-04-05 15:48:50,2022-04-05 16:48:11,59,10.8,181,124,8,17,39,13,0,298,0,4,False,False,False,False,True,56,40,95,11,181,69,17.4,92,77
520,2022-04-04 12:05:52,2022-04-04 12:59:46,53,4.8,142,90,24,16,1,0,0,166,0,2,False,False,False,False,True,57,46,94,5,142,66,17.4,93,41
521,2022-04-02 21:03:03,2022-04-02 23:32:00,148,13.2,159,123,21,34,39,0,0,1115,11,18,True,False,False,False,False,81,84,95,14,159,83,18.3,92,94
523,2022-04-02 11:45:48,2022-04-02 12:27:57,42,5.1,146,99,19,10,13,0,0,157,-7,2,False,False,False,False,True,81,84,95,14,159,83,18.3,92,42
525,2022-04-01 20:56:56,2022-04-01 23:50:06,173,14.1,160,127,10,54,33,2,0,805,3,10,True,False,False,False,False,57,31,95,15,160,81,16.6,91,99
526,2022-04-01 11:32:47,2022-04-01 12:16:15,43,4.1,122,89,42,2,0,0,0,150,0,2,False,False,False,False,True,57,31,95,15,160,81,16.6,91,44
527,2022-03-31 19:23:13,2022-03-31 19:53:44,30,5.9,152,113,20,24,31,0,0,132,5,1,False,False,False,False,True,59,37,95,13,165,76,16.9,93,75
528,2022-03-31 14:26:12,2022-03-31 16:53:03,146,12.1,165,114,35,18,26,2,0,492,-19,8,False,False,False,False,True,59,37,95,13,165,76,16.9,93,81
529,2022-03-26 20:36:12,2022-03-26 23:15:33,159,14.2,166,124,19,39,34,3,0,741,0,10,True,False,False,False,False,61,36,96,14,166,75,16.2,91,95
530,2022-03-25 20:53:48,2022-03-25 23:46:11,172,14.0,158,121,24,27,42,0,0,845,-1,10,True,False,False,False,False,59,37,93,15,158,79,15.2,91,93
532,2022-03-25 11:06:39,2022-03-25 13:00:00,113,4.4,123,90,38,2,0,0,0,6970,0,73,False,False,True,False,False,59,37,93,15,158,79,15.2,91,40
534,2022-03-23 11:03:08,2022-03-23 13:14:58,131,5.3,122,92,51,1,0,0,0,6959,-45,73,False,False,True,False,False,57,39,93,5,124,68,16.8,93,52
535,2022-03-21 11:15:00,2022-03-21 13:15:00,120,6.2,143,96,45,11,2,0,0,0,0,0,False,False,True,False,False,57,43,94,8,155,69,16.9,93,58
537,2022-03-19 20:37:51,2022-03-19 22:45:55,128,13.5,157,127,20,28,51,0,0,776,-2,10,True,False,False,False,False,62,29,94,14,157,77,16.2,91,99
538,2022-03-18 20:56:44,2022-03-18 23:47:00,170,14.1,166,121,21,30,39,1,0,1538,2,8,True,False,False,False,False,57,35,95,15,166,78,16.9,93,91
541,2022-03-18 11:49:54,2022-03-18 13:53:57,124,4.5,117,89,38,0,0,0,0,7385,-31,75,False,False,True,False,False,57,35,95,15,166,78,16.9,93,38
544,2022-03-17 11:08:02,2022-03-17 13:08:10,120,9.3,168,103,27,21,11,1,0,7410,-21,73,False,False,True,False,False,58,36,0,10,168,69,16.7,32,60
547,2022-03-14 11:01:10,2022-03-14 13:00:00,118,5.5,136,93,30,11,0,0,0,7021,-39,74,False,False,True,False,False,57,28,0,5,136,65,16.8,32,41
548,2022-03-10 11:29:18,2022-03-10 13:34:57,125,8.5,142,100,18,26,7,0,0,6987,-46,73,False,False,True,False,False,57,34,94,9,142,69,17.0,93,51
550,2022-03-08 11:04:37,2022-03-08 13:24:58,140,10.4,153,101,22,14,20,0,0,7163,-35,73,False,False,True,False,False,58,34,95,11,153,68,17.1,92,56
551,2022-03-05 20:35:10,2022-03-05 22:56:00,140,13.5,160,125,19,33,42,1,0,722,2,10,True,False,False,False,False,70,40,92,15,204,76,16.5,93,95
553,2022-03-04 21:00:19,2022-03-04 23:50:00,169,16.3,190,125,16,21,29,16,2,0,0,0,True,False,False,False,False,57,42,93,17,190,76,16.3,93,84
555,2022-02-26 20:35:29,2022-02-26 23:24:44,169,15.0,189,127,26,22,40,7,1,783,-2,10,True,False,False,False,False,62,43,95,15,189,76,15.9,91,96
556,2022-02-24 11:00:33,2022-02-24 13:28:58,148,8.9,144,101,38,18,9,0,0,6998,-29,73,False,False,True,False,False,55,40,94,9,144,67,16.8,89,65
557,2022-02-21 10:55:30,2022-02-21 13:12:54,137,10.0,153,105,20,20,19,0,0,7009,1,73,False,False,True,False,False,56,32,95,10,179,66,16.6,88,59
559,2022-02-19 20:38:21,2022-02-19 22:47:32,129,12.6,164,124,19,36,41,0,0,705,2,9,True,False,False,False,False,65,35,95,15,164,78,15.2,92,96
562,2022-02-18 20:55:00,2022-02-19 00:05:49,190,16.1,190,123,24,33,25,7,3,633,-61,7,True,False,False,False,False,56,42,93,16,190,76,16.6,89,92
563,2022-02-17 10:58:16,2022-02-17 12:51:30,113,9.1,144,115,23,65,1,0,0,6987,0,73,False,False,True,False,False,57,43,93,10,158,69,16.6,90,89
564,2022-02-14 11:02:50,2022-02-14 12:59:54,117,5.7,137,94,19,15,0,0,0,6853,-45,73,False,False,True,False,False,60,36,93,6,137,66,16.9,92,34
566,2022-02-12 20:42:03,2022-02-12 23:15:36,153,13.5,158,123,21,52,26,0,0,704,3,10,True,False,False,False,False,64,28,90,14,158,77,15.8,90,99
567,2022-02-11 20:48:39,2022-02-11 23:44:55,176,13.9,183,119,44,27,21,4,1,746,2,9,True,False,False,False,False,58,34,94,14,183,77,16.6,90,97
568,2022-02-10 11:20:39,2022-02-10 13:18:59,118,4.7,113,89,39,0,0,0,0,6859,3,73,False,False,True,False,False,57,37,93,6,148,69,16.3,92,39
569,2022-02-08 11:19:59,2022-02-08 13:17:56,117,5.5,129,91,32,9,0,0,0,6892,0,73,False,False,True,False,False,56,49,94,5,129,65,17.0,90,41
571,2022-02-05 20:44:32,2022-02-05 23:03:45,139,13.9,159,128,16,38,45,0,0,782,1,10,True,False,False,False,False,64,31,93,16,206,77,15.8,90,99
573,2022-02-04 21:00:01,2022-02-04 23:42:52,162,14.3,164,125,17,46,32,3,0,790,0,10,True,False,False,False,False,57,31,94,15,164,77,16.9,91,98
574,2022-02-03 11:05:40,2022-02-03 13:02:19,116,4.6,130,92,22,6,0,0,0,6964,0,73,False,False,True,False,False,54,52,93,6,145,67,16.5,90,28
575,2022-01-29 20:29:35,2022-01-29 22:50:00,140,14.2,161,128,14,38,47,1,0,1403,4,8,True,False,False,False,False,61,37,94,15,193,78,16.5,89,100
576,2022-01-28 20:51:04,2022-01-29 00:01:00,189,13.8,159,117,38,31,24,0,0,1369,5,8,True,False,False,False,False,56,41,93,15,159,79,16.3,90,93
577,2022-01-27 11:10:43,2022-01-27 13:15:00,124,7.6,134,99,33,29,0,0,0,7000,1,74,False,False,True,False,False,57,39,94,10,172,69,15.9,92,62
578,2022-01-22 20:34:32,2022-01-22 22:55:00,140,13.8,162,127,20,42,37,1,0,775,0,10,True,False,False,False,False,70,27,93,15,167,81,16.1,90,100
580,2022-01-22 15:15:01,2022-01-22 15:53:51,38,8.8,163,131,3,56,34,7,0,0,0,0,False,True,False,False,False,70,27,93,15,167,81,16.1,90,100
582,2022-01-21 20:56:43,2022-01-21 23:27:36,150,13.4,152,123,26,42,31,0,0,761,0,10,True,False,False,False,False,55,35,93,14,152,75,17.0,93,99
583,2022-01-15 20:40:00,2022-01-15 22:20:00,164,11.5,152,123,23,48,27,0,0,0,0,0,True,False,False,False,False,61,37,91,13,152,77,15.6,90,98
584,2022-01-14 20:52:08,2022-01-14 23:30:00,157,13.2,154,118,31,34,27,0,0,0,0,0,True,False,False,False,False,56,35,95,15,182,76,16.1,91,92
585,2022-01-12 11:19:10,2022-01-12 13:39:26,140,11.9,154,107,23,16,26,0,0,8342,-11,74,False,False,True,False,False,58,36,94,12,154,67,16.1,90,65
586,2022-01-08 20:51:33,2022-01-08 23:35:09,163,10.9,165,109,14,43,10,0,0,727,-1,10,True,False,False,False,False,60,45,0,11,165,71,16.5,91,67
587,2022-01-07 20:49:25,2022-01-07 23:51:06,181,12.2,163,112,43,26,17,0,0,667,1,10,True,False,False,False,False,53,42,92,12,163,72,15.6,93,86
589,2022-01-01 20:33:04,2022-01-01 23:00:55,147,12.1,158,117,20,45,21,0,0,695,2,10,True,False,False,False,False,62,29,94,12,166,73,16.5,92,86
591,2021-12-31 21:00:34,2021-12-31 23:30:00,149,12.9,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,58,37,0,13,183,72,15.8,32,0
592,2021-12-30 12:10:15,2021-12-30 15:00:54,170,8.7,136,99,27,32,0,0,0,6920,0,74,False,False,True,False,False,0,0,0,9,136,70,,32,59
593,2021-12-29 20:32:55,2021-12-29 22:56:39,143,11.1,167,112,27,35,14,2,0,740,4,10,True,False,False,False,False,56,43,0,12,183,72,16.2,32,78
595,2021-12-25 20:59:41,2021-12-25 23:33:53,154,11.0,171,113,24,36,16,3,0,822,0,10,True,False,False,False,False,62,33,0,11,171,73,15.2,32,79
597,2021-12-24 20:53:19,2021-12-24 23:25:00,151,12.9,179,117,30,39,19,4,0,0,0,0,True,False,False,False,False,61,31,0,14,179,76,16.5,32,92
598,2021-12-21 11:25:00,2021-12-21 13:46:33,141,7.4,144,99,37,17,3,0,0,7165,0,74,False,False,True,False,False,56,40,0,8,157,69,17.1,32,57
599,2021-12-18 21:11:23,2021-12-18 23:30:00,138,10.3,153,111,20,42,13,0,0,1374,-2,8,True,False,False,False,False,67,30,0,14,153,77,16.1,32,75
601,2021-12-17 20:55:00,2021-12-17 23:30:00,155,9.7,147,107,36,40,2,0,0,0,0,0,True,False,False,False,False,57,34,0,14,169,77,16.3,32,78
602,2021-12-16 11:03:59,2021-12-16 13:26:13,142,9.1,135,102,26,43,0,0,0,6924,0,74,False,False,True,False,False,57,39,0,12,154,73,16.8,32,69
604,2021-12-11 20:30:20,2021-12-11 23:05:27,155,9.3,177,109,44,29,8,2,0,834,-3,10,True,False,False,False,False,60,32,0,13,177,74,15.9,32,83
606,2021-12-10 20:57:02,2021-12-10 23:56:34,179,10.7,149,110,42,31,11,0,0,769,0,10,True,False,False,False,False,59,29,0,13,149,78,16.6,32,84
608,2021-12-04 20:46:19,2021-12-04 23:15:03,148,12.9,169,121,23,27,35,3,0,759,0,10,True,False,False,False,False,67,35,0,13,169,79,15.7,32,88
609,2021-12-03 20:58:28,2021-12-03 23:30:00,151,15.3,187,127,16,41,21,12,4,1245,4,8,True,False,False,False,False,57,33,0,17,187,81,16.9,32,94
610,2021-11-27 20:34:28,2021-11-27 23:03:26,148,10.0,148,109,44,38,4,0,0,861,0,10,True,False,False,False,False,0,0,0,14,171,76,,32,86
611,2021-11-26 21:16:50,2021-11-26 23:24:43,127,11.5,170,117,30,55,12,1,0,687,-59,8,True,False,False,False,False,63,29,0,16,183,79,16.8,32,98
612,2021-11-24 20:24:31,2021-11-24 22:29:15,124,13.5,183,126,13,54,26,4,1,808,-1,10,True,False,False,False,False,62,31,0,14,183,77,15.8,32,98
613,2021-11-20 20:36:06,2021-11-20 23:08:00,151,11.9,160,117,36,58,6,0,0,858,-3,10,True,False,False,False,False,62,32,0,13,160,79,16.2,32,100
614,2021-11-19 20:41:05,2021-11-19 23:07:23,146,12.6,156,119,23,54,17,0,0,859,-1,10,True,False,False,False,False,55,42,0,18,183,81,16.2,32,94
616,2021-11-19 11:07:26,2021-11-19 13:45:59,158,11.1,148,106,15,40,9,0,0,7162,-1,74,False,False,True,False,False,55,42,0,18,183,81,16.2,32,64
618,2021-11-17 10:58:10,2021-11-17 13:15:05,136,5.9,126,92,41,7,0,0,0,7061,0,73,False,False,True,False,False,57,33,0,7,151,66,16.7,32,48
620,2021-11-12 20:59:17,2021-11-13 08:57:14,164,14.9,179,79,10,9,6,1,0,56,7,19,True,False,False,False,False,57,38,0,16,179,75,16.5,32,26
621,2021-11-12 11:11:32,2021-11-12 13:26:10,134,8.5,138,101,15,39,0,0,0,1454,29,24,False,False,True,False,False,57,38,0,16,179,75,16.5,32,54
622,2021-11-11 11:06:05,2021-11-11 13:14:56,128,8.1,150,101,29,23,7,0,0,1,0,0,False,False,True,False,False,58,34,0,13,170,72,17.1,32,59
624,2021-11-06 20:32:35,2021-11-06 23:17:03,164,12.0,160,115,38,48,10,0,0,67,0,2,True,False,False,False,False,66,36,0,13,160,76,15.9,32,96
626,2021-11-05 20:55:19,2021-11-05 23:26:10,150,10.5,150,110,27,46,6,0,0,68,2,2,True,False,False,False,False,54,45,0,15,193,80,16.5,32,79
627,2021-11-02 11:12:56,2021-11-02 13:00:00,107,4.2,117,89,26,0,0,0,0,0,0,0,False,False,True,False,False,0,0,0,6,143,68,,32,26
628,2021-10-30 21:15:49,2021-10-30 23:27:11,131,11.4,161,116,39,44,15,0,0,50,0,2,True,False,False,False,False,65,27,0,12,161,77,15.5,32,98
629,2021-10-29 20:52:06,2021-10-29 23:45:00,172,14.0,168,120,27,50,16,4,0,0,0,0,True,False,False,False,False,59,38,0,17,174,82,16.4,32,97
630,2021-10-29 10:54:24,2021-10-29 18:44:46,176,10.4,146,84,10,10,2,0,0,34,0,0,False,False,True,False,False,59,38,0,17,174,82,16.4,32,22
631,2021-10-27 10:54:56,2021-10-27 13:00:00,125,11.8,151,115,26,48,15,0,0,1454,41,24,False,False,True,False,False,63,41,0,12,155,72,17.0,32,89
634,2021-10-23 20:34:27,2021-10-23 23:20:08,165,11.1,158,109,50,28,10,0,0,38,1,2,True,False,False,False,False,64,33,0,11,158,73,16.0,32,88
636,2021-10-22 20:57:12,2021-10-22 23:30:00,152,13.2,185,116,34,42,7,4,2,0,0,0,True,False,False,False,False,54,35,0,16,185,82,16.5,32,89
637,2021-10-22 11:38:22,2021-10-22 14:00:00,141,11.1,153,107,18,31,16,0,0,1,0,0,False,False,True,False,False,54,35,0,16,185,82,16.5,32,65
638,2021-10-18 11:03:44,2021-10-18 13:15:00,131,10.6,145,112,44,40,6,0,0,0,43,0,False,False,True,False,False,53,50,0,14,167,70,17.1,32,90
639,2021-10-16 20:35:02,2021-10-16 23:12:00,156,12.8,170,116,32,48,12,1,0,267,62,8,True,False,False,False,False,64,33,0,13,170,76,16.0,32,93
640,2021-10-15 20:54:00,2021-10-15 23:30:00,156,13.5,161,120,30,40,26,0,0,0,0,0,True,False,False,False,False,58,30,0,17,171,83,17.0,32,96
643,2021-10-15 11:42:10,2021-10-15 14:26:00,163,7.3,126,95,47,7,0,0,0,0,12,0,False,False,True,False,False,58,30,0,17,171,83,17.0,32,54
646,2021-10-14 12:11:16,2021-10-14 12:57:29,176,9.2,147,130,4,58,38,0,0,0,0,0,False,False,True,False,False,55,35,0,14,188,73,16.9,32,100
647,2021-10-13 10:59:21,2021-10-13 12:58:26,119,8.4,139,102,47,25,0,0,0,0,-5,0,False,False,True,False,False,55,44,0,9,141,69,17.0,32,72
648,2021-10-09 20:34:53,2021-10-09 23:01:21,146,9.1,163,110,46,39,6,0,0,0,-1,0,True,False,False,False,False,67,40,0,12,174,77,15.6,32,91
650,2021-10-08 20:55:00,2021-10-08 23:30:00,155,13.0,166,118,28,48,15,4,0,0,0,0,True,False,False,False,False,55,44,0,16,166,80,16.5,32,95
651,2021-10-08 10:57:00,2021-10-08 13:01:45,124,11.4,162,112,16,46,11,2,0,3,0,0,False,False,True,False,False,55,44,0,16,166,80,16.5,32,75
652,2021-10-05 11:04:22,2021-10-05 13:21:25,137,8.5,143,100,40,19,5,0,0,2,1,0,False,False,True,False,False,53,45,0,13,162,70,17.2,32,64
654,2021-10-02 20:24:32,2021-10-02 23:19:36,175,13.3,166,120,25,56,16,1,0,62,2,2,True,False,False,False,False,63,30,0,16,187,82,16.3,32,98
655,2021-10-01 20:59:47,2021-10-01 23:47:35,167,13.4,169,121,18,59,20,1,0,57,0,2,True,False,False,False,False,57,40,0,18,187,80,16.9,32,98
657,2021-09-29 11:33:29,2021-09-29 12:16:35,176,8.5,161,125,12,33,42,1,0,0,0,0,False,False,True,False,False,56,48,0,13,166,72,17.3,32,88
660,2021-09-28 11:01:25,2021-09-28 12:59:14,117,4.7,118,87,30,1,0,0,0,4006,5,43,False,False,True,False,False,54,42,0,7,137,69,17.4,32,31
661,2021-09-25 20:46:06,2021-09-25 23:15:26,149,10.6,159,113,35,44,10,0,0,1358,0,10,True,False,False,False,False,61,36,0,12,171,76,15.9,32,89
662,2021-09-24 20:55:00,2021-09-24 23:55:00,180,11.9,184,107,48,23,7,0,1,0,0,0,True,False,False,False,False,54,52,0,16,184,80,17.0,32,79
663,2021-09-24 11:36:49,2021-09-24 13:51:42,134,7.2,138,94,25,17,1,0,0,7392,0,73,False,False,True,False,False,54,52,0,16,184,80,17.0,32,43
664,2021-09-21 11:09:14,2021-09-21 13:09:20,120,5.2,119,92,42,0,0,0,0,7334,3,73,False,False,True,False,False,57,42,0,11,166,71,17.3,32,42
665,2021-09-18 21:04:36,2021-09-18 23:14:00,129,12.4,158,123,16,63,20,0,0,1349,-3,10,True,False,False,False,False,65,37,0,13,158,75,15.6,32,99
667,2021-09-17 20:55:00,2021-09-17 23:55:00,180,10.1,146,104,56,23,2,0,0,0,0,0,True,False,False,False,False,53,43,0,15,160,76,16.6,32,81
668,2021-09-17 11:14:02,2021-09-17 13:11:19,117,7.3,134,98,21,27,0,0,0,7336,3,73,False,False,True,False,False,53,43,0,15,160,76,16.6,32,48
669,2021-09-15 10:57:49,2021-09-15 12:56:05,118,5.2,116,91,42,0,0,0,0,7254,0,74,False,False,True,False,False,56,36,0,6,139,67,15.4,32,42
670,2021-09-11 20:37:02,2021-09-11 23:10:03,153,11.7,166,113,40,46,7,1,0,1440,2,10,True,False,False,False,False,59,35,0,15,186,75,15.1,32,94
671,2021-09-10 20:50:00,2021-09-10 23:30:00,160,9.8,140,106,62,29,0,0,0,0,0,0,True,False,False,False,False,56,36,0,17,187,79,16.8,32,91
672,2021-09-10 11:04:51,2021-09-10 13:07:22,122,6.0,125,94,42,5,0,0,0,7350,0,74,False,False,True,False,False,56,36,0,17,187,79,16.8,32,47
673,2021-09-08 11:21:57,2021-09-08 13:03:08,101,6.6,119,99,75,2,0,0,0,5418,-871,63,False,False,True,False,False,53,49,0,14,191,71,16.3,32,77
674,2021-09-04 20:40:28,2021-09-04 22:59:01,138,11.0,167,114,38,43,11,0,0,1420,1,10,True,False,False,False,False,65,29,0,11,167,71,15.8,32,92
677,2021-09-03 20:55:00,2021-09-04 00:00:00,185,11.3,164,111,50,40,4,1,0,0,0,0,True,False,False,False,False,53,44,0,14,172,81,16.3,32,95
678,2021-09-03 12:20:39,2021-09-03 15:43:43,203,6.5,126,93,35,8,0,0,0,11207,-11,125,False,False,True,False,False,53,44,0,14,172,81,16.3,32,43
679,2021-09-01 11:15:55,2021-09-01 12:46:44,90,9.4,145,106,9,26,20,0,0,5538,12,54,False,False,True,False,False,55,47,0,16,185,69,17.0,32,55
682,2021-08-28 20:35:49,2021-08-28 22:12:06,164,4.5,135,85,21,2,0,0,0,125,0,0,True,False,False,False,False,60,34,0,14,187,71,15.2,32,23
683,2021-08-27 20:55:00,2021-08-27 23:30:00,155,10.4,158,112,52,27,12,0,0,0,0,0,True,False,False,False,False,52,53,0,17,190,79,17.2,32,91
684,2021-08-27 12:18:12,2021-08-27 14:13:33,115,6.0,134,92,43,9,0,0,0,4408,-7,11,False,False,True,False,False,52,53,0,17,190,79,17.2,32,52
685,2021-08-26 11:39:17,2021-08-26 15:09:12,209,5.3,119,89,30,0,0,0,0,8969,5,6,False,False,True,False,False,64,27,0,20,194,78,16.3,32,30
687,2021-08-25 20:12:27,2021-08-25 21:54:24,101,17.9,189,138,4,12,32,27,22,0,0,0,False,True,False,False,False,53,54,0,18,189,84,16.0,32,97
688,2021-08-25 15:24:44,2021-08-25 17:28:29,123,12.7,180,118,27,31,21,2,2,4761,-10,12,False,False,True,False,False,53,54,0,18,189,84,16.0,32,83
